episode,agent,algorithm,model_path,total_reward,steps,result
1,DQN 100k,DQN,models\dqn_boxing_100k.zip,2.0,442,win
2,DQN 100k,DQN,models\dqn_boxing_100k.zip,15.0,435,win
3,DQN 100k,DQN,models\dqn_boxing_100k.zip,2.0,437,win
4,DQN 100k,DQN,models\dqn_boxing_100k.zip,16.0,436,win
5,DQN 100k,DQN,models\dqn_boxing_100k.zip,2.0,442,win
6,DQN 100k,DQN,models\dqn_boxing_100k.zip,3.0,438,win
7,DQN 100k,DQN,models\dqn_boxing_100k.zip,5.0,439,win
8,DQN 100k,DQN,models\dqn_boxing_100k.zip,4.0,435,win
9,DQN 100k,DQN,models\dqn_boxing_100k.zip,-3.0,440,loss
10,DQN 100k,DQN,models\dqn_boxing_100k.zip,3.0,437,win
11,DQN 100k,DQN,models\dqn_boxing_100k.zip,5.0,438,win
12,DQN 100k,DQN,models\dqn_boxing_100k.zip,9.0,436,win
13,DQN 100k,DQN,models\dqn_boxing_100k.zip,7.0,440,win
14,DQN 100k,DQN,models\dqn_boxing_100k.zip,6.0,439,win
15,DQN 100k,DQN,models\dqn_boxing_100k.zip,11.0,436,win
16,DQN 100k,DQN,models\dqn_boxing_100k.zip,6.0,437,win
17,DQN 100k,DQN,models\dqn_boxing_100k.zip,7.0,442,win
18,DQN 100k,DQN,models\dqn_boxing_100k.zip,1.0,438,win
19,DQN 100k,DQN,models\dqn_boxing_100k.zip,6.0,441,win
20,DQN 100k,DQN,models\dqn_boxing_100k.zip,2.0,439,win
21,DQN 100k,DQN,models\dqn_boxing_100k.zip,1.0,438,win
22,DQN 100k,DQN,models\dqn_boxing_100k.zip,1.0,436,win
23,DQN 100k,DQN,models\dqn_boxing_100k.zip,2.0,436,win
24,DQN 100k,DQN,models\dqn_boxing_100k.zip,3.0,437,win
25,DQN 100k,DQN,models\dqn_boxing_100k.zip,3.0,441,win
26,DQN 100k,DQN,models\dqn_boxing_100k.zip,-1.0,438,loss
27,DQN 100k,DQN,models\dqn_boxing_100k.zip,1.0,441,win
28,DQN 100k,DQN,models\dqn_boxing_100k.zip,3.0,442,win
29,DQN 100k,DQN,models\dqn_boxing_100k.zip,1.0,442,win
30,DQN 100k,DQN,models\dqn_boxing_100k.zip,0.0,437,draw
31,DQN 100k,DQN,models\dqn_boxing_100k.zip,4.0,441,win
32,DQN 100k,DQN,models\dqn_boxing_100k.zip,-7.0,439,loss
33,DQN 100k,DQN,models\dqn_boxing_100k.zip,-4.0,441,loss
34,DQN 100k,DQN,models\dqn_boxing_100k.zip,9.0,435,win
35,DQN 100k,DQN,models\dqn_boxing_100k.zip,-1.0,435,loss
36,DQN 100k,DQN,models\dqn_boxing_100k.zip,-3.0,438,loss
37,DQN 100k,DQN,models\dqn_boxing_100k.zip,4.0,440,win
38,DQN 100k,DQN,models\dqn_boxing_100k.zip,0.0,437,draw
39,DQN 100k,DQN,models\dqn_boxing_100k.zip,6.0,435,win
40,DQN 100k,DQN,models\dqn_boxing_100k.zip,-8.0,439,loss
41,DQN 100k,DQN,models\dqn_boxing_100k.zip,3.0,440,win
42,DQN 100k,DQN,models\dqn_boxing_100k.zip,2.0,438,win
43,DQN 100k,DQN,models\dqn_boxing_100k.zip,4.0,440,win
44,DQN 100k,DQN,models\dqn_boxing_100k.zip,-8.0,436,loss
45,DQN 100k,DQN,models\dqn_boxing_100k.zip,0.0,435,draw
46,DQN 100k,DQN,models\dqn_boxing_100k.zip,0.0,437,draw
47,DQN 100k,DQN,models\dqn_boxing_100k.zip,5.0,440,win
48,DQN 100k,DQN,models\dqn_boxing_100k.zip,0.0,439,draw
49,DQN 100k,DQN,models\dqn_boxing_100k.zip,6.0,440,win
50,DQN 100k,DQN,models\dqn_boxing_100k.zip,-1.0,442,loss
