episode,agent,algorithm,model_path,total_reward,steps,result
1,PPO 500k,PPO,models\ppo_boxing_500k.zip,-22.0,442,loss
2,PPO 500k,PPO,models\ppo_boxing_500k.zip,-12.0,435,loss
3,PPO 500k,PPO,models\ppo_boxing_500k.zip,-10.0,437,loss
4,PPO 500k,PPO,models\ppo_boxing_500k.zip,-20.0,436,loss
5,PPO 500k,PPO,models\ppo_boxing_500k.zip,-18.0,442,loss
6,PPO 500k,PPO,models\ppo_boxing_500k.zip,-15.0,438,loss
7,PPO 500k,PPO,models\ppo_boxing_500k.zip,-15.0,439,loss
8,PPO 500k,PPO,models\ppo_boxing_500k.zip,-20.0,435,loss
9,PPO 500k,PPO,models\ppo_boxing_500k.zip,-22.0,440,loss
10,PPO 500k,PPO,models\ppo_boxing_500k.zip,-20.0,437,loss
11,PPO 500k,PPO,models\ppo_boxing_500k.zip,-24.0,438,loss
12,PPO 500k,PPO,models\ppo_boxing_500k.zip,-13.0,436,loss
13,PPO 500k,PPO,models\ppo_boxing_500k.zip,-13.0,440,loss
14,PPO 500k,PPO,models\ppo_boxing_500k.zip,-22.0,439,loss
15,PPO 500k,PPO,models\ppo_boxing_500k.zip,-13.0,436,loss
16,PPO 500k,PPO,models\ppo_boxing_500k.zip,-19.0,437,loss
17,PPO 500k,PPO,models\ppo_boxing_500k.zip,-11.0,442,loss
18,PPO 500k,PPO,models\ppo_boxing_500k.zip,-24.0,438,loss
19,PPO 500k,PPO,models\ppo_boxing_500k.zip,-20.0,441,loss
20,PPO 500k,PPO,models\ppo_boxing_500k.zip,-18.0,439,loss
21,PPO 500k,PPO,models\ppo_boxing_500k.zip,-24.0,438,loss
22,PPO 500k,PPO,models\ppo_boxing_500k.zip,-17.0,436,loss
23,PPO 500k,PPO,models\ppo_boxing_500k.zip,-22.0,436,loss
24,PPO 500k,PPO,models\ppo_boxing_500k.zip,-19.0,437,loss
25,PPO 500k,PPO,models\ppo_boxing_500k.zip,-13.0,441,loss
26,PPO 500k,PPO,models\ppo_boxing_500k.zip,-22.0,438,loss
27,PPO 500k,PPO,models\ppo_boxing_500k.zip,-19.0,441,loss
28,PPO 500k,PPO,models\ppo_boxing_500k.zip,-11.0,442,loss
29,PPO 500k,PPO,models\ppo_boxing_500k.zip,-11.0,442,loss
30,PPO 500k,PPO,models\ppo_boxing_500k.zip,-13.0,437,loss
31,PPO 500k,PPO,models\ppo_boxing_500k.zip,-13.0,441,loss
32,PPO 500k,PPO,models\ppo_boxing_500k.zip,-13.0,439,loss
33,PPO 500k,PPO,models\ppo_boxing_500k.zip,-19.0,441,loss
34,PPO 500k,PPO,models\ppo_boxing_500k.zip,-13.0,435,loss
35,PPO 500k,PPO,models\ppo_boxing_500k.zip,-13.0,435,loss
36,PPO 500k,PPO,models\ppo_boxing_500k.zip,-14.0,438,loss
37,PPO 500k,PPO,models\ppo_boxing_500k.zip,-22.0,440,loss
38,PPO 500k,PPO,models\ppo_boxing_500k.zip,-21.0,437,loss
39,PPO 500k,PPO,models\ppo_boxing_500k.zip,-21.0,435,loss
40,PPO 500k,PPO,models\ppo_boxing_500k.zip,-22.0,439,loss
41,PPO 500k,PPO,models\ppo_boxing_500k.zip,-20.0,440,loss
42,PPO 500k,PPO,models\ppo_boxing_500k.zip,-16.0,438,loss
43,PPO 500k,PPO,models\ppo_boxing_500k.zip,-13.0,440,loss
44,PPO 500k,PPO,models\ppo_boxing_500k.zip,-13.0,436,loss
45,PPO 500k,PPO,models\ppo_boxing_500k.zip,-18.0,435,loss
46,PPO 500k,PPO,models\ppo_boxing_500k.zip,-13.0,437,loss
47,PPO 500k,PPO,models\ppo_boxing_500k.zip,-13.0,440,loss
48,PPO 500k,PPO,models\ppo_boxing_500k.zip,-15.0,439,loss
49,PPO 500k,PPO,models\ppo_boxing_500k.zip,-19.0,440,loss
50,PPO 500k,PPO,models\ppo_boxing_500k.zip,-11.0,442,loss
