episode,match_label,player1_policy,player2_policy,player1_model,player2_model,player1_agent,player2_agent,player1_total_reward,player2_total_reward,reward_difference_p1_minus_p2,player1_actions,player2_actions,result
1,Transferred DQN vs PPO,dqn,ppo,models/dqn_boxing_1000k.zip,models/ppo_boxing_500k.zip,first_0,second_0,0.0,0.0,0.0,1785,1785,draw
2,Transferred DQN vs PPO,dqn,ppo,models/dqn_boxing_1000k.zip,models/ppo_boxing_500k.zip,first_0,second_0,-1.0,1.0,-2.0,1785,1785,player2_win
3,Transferred DQN vs PPO,dqn,ppo,models/dqn_boxing_1000k.zip,models/ppo_boxing_500k.zip,first_0,second_0,7.0,-7.0,14.0,1785,1785,player1_win
4,Transferred DQN vs PPO,dqn,ppo,models/dqn_boxing_1000k.zip,models/ppo_boxing_500k.zip,first_0,second_0,0.0,0.0,0.0,1785,1785,draw
5,Transferred DQN vs PPO,dqn,ppo,models/dqn_boxing_1000k.zip,models/ppo_boxing_500k.zip,first_0,second_0,-3.0,3.0,-6.0,1785,1785,player2_win
6,Transferred DQN vs PPO,dqn,ppo,models/dqn_boxing_1000k.zip,models/ppo_boxing_500k.zip,first_0,second_0,2.0,-2.0,4.0,1785,1785,player1_win
7,Transferred DQN vs PPO,dqn,ppo,models/dqn_boxing_1000k.zip,models/ppo_boxing_500k.zip,first_0,second_0,-6.0,6.0,-12.0,1785,1785,player2_win
8,Transferred DQN vs PPO,dqn,ppo,models/dqn_boxing_1000k.zip,models/ppo_boxing_500k.zip,first_0,second_0,2.0,-2.0,4.0,1785,1785,player1_win
9,Transferred DQN vs PPO,dqn,ppo,models/dqn_boxing_1000k.zip,models/ppo_boxing_500k.zip,first_0,second_0,5.0,-5.0,10.0,1785,1785,player1_win
10,Transferred DQN vs PPO,dqn,ppo,models/dqn_boxing_1000k.zip,models/ppo_boxing_500k.zip,first_0,second_0,-1.0,1.0,-2.0,1785,1785,player2_win
11,Transferred DQN vs PPO,dqn,ppo,models/dqn_boxing_1000k.zip,models/ppo_boxing_500k.zip,first_0,second_0,-2.0,2.0,-4.0,1785,1785,player2_win
12,Transferred DQN vs PPO,dqn,ppo,models/dqn_boxing_1000k.zip,models/ppo_boxing_500k.zip,first_0,second_0,6.0,-6.0,12.0,1785,1785,player1_win
13,Transferred DQN vs PPO,dqn,ppo,models/dqn_boxing_1000k.zip,models/ppo_boxing_500k.zip,first_0,second_0,0.0,0.0,0.0,1785,1785,draw
14,Transferred DQN vs PPO,dqn,ppo,models/dqn_boxing_1000k.zip,models/ppo_boxing_500k.zip,first_0,second_0,-3.0,3.0,-6.0,1785,1785,player2_win
15,Transferred DQN vs PPO,dqn,ppo,models/dqn_boxing_1000k.zip,models/ppo_boxing_500k.zip,first_0,second_0,-1.0,1.0,-2.0,1785,1785,player2_win
16,Transferred DQN vs PPO,dqn,ppo,models/dqn_boxing_1000k.zip,models/ppo_boxing_500k.zip,first_0,second_0,0.0,0.0,0.0,1785,1785,draw
17,Transferred DQN vs PPO,dqn,ppo,models/dqn_boxing_1000k.zip,models/ppo_boxing_500k.zip,first_0,second_0,-1.0,1.0,-2.0,1785,1785,player2_win
