episode,match_label,player1_policy,player2_policy,player1_model,player2_model,player1_agent,player2_agent,player1_total_reward,player2_total_reward,reward_difference_p1_minus_p2,player1_actions,player2_actions,result
1,Transferred DQN vs Random,dqn,random,models/dqn_boxing_1000k.zip,,first_0,second_0,27.0,-27.0,54.0,1785,1785,player1_win
2,Transferred DQN vs Random,dqn,random,models/dqn_boxing_1000k.zip,,first_0,second_0,12.0,-12.0,24.0,1785,1785,player1_win
3,Transferred DQN vs Random,dqn,random,models/dqn_boxing_1000k.zip,,first_0,second_0,30.0,-30.0,60.0,1785,1785,player1_win
4,Transferred DQN vs Random,dqn,random,models/dqn_boxing_1000k.zip,,first_0,second_0,5.0,-5.0,10.0,1785,1785,player1_win
5,Transferred DQN vs Random,dqn,random,models/dqn_boxing_1000k.zip,,first_0,second_0,-14.0,14.0,-28.0,1785,1785,player2_win
6,Transferred DQN vs Random,dqn,random,models/dqn_boxing_1000k.zip,,first_0,second_0,8.0,-8.0,16.0,1785,1785,player1_win
7,Transferred DQN vs Random,dqn,random,models/dqn_boxing_1000k.zip,,first_0,second_0,45.0,-45.0,90.0,1785,1785,player1_win
8,Transferred DQN vs Random,dqn,random,models/dqn_boxing_1000k.zip,,first_0,second_0,32.0,-32.0,64.0,1785,1785,player1_win
9,Transferred DQN vs Random,dqn,random,models/dqn_boxing_1000k.zip,,first_0,second_0,1.0,-1.0,2.0,1785,1785,player1_win
10,Transferred DQN vs Random,dqn,random,models/dqn_boxing_1000k.zip,,first_0,second_0,12.0,-12.0,24.0,1785,1785,player1_win
11,Transferred DQN vs Random,dqn,random,models/dqn_boxing_1000k.zip,,first_0,second_0,-13.0,13.0,-26.0,1785,1785,player2_win
12,Transferred DQN vs Random,dqn,random,models/dqn_boxing_1000k.zip,,first_0,second_0,34.0,-34.0,68.0,1785,1785,player1_win
13,Transferred DQN vs Random,dqn,random,models/dqn_boxing_1000k.zip,,first_0,second_0,-4.0,4.0,-8.0,1785,1785,player2_win
14,Transferred DQN vs Random,dqn,random,models/dqn_boxing_1000k.zip,,first_0,second_0,-28.0,28.0,-56.0,1785,1785,player2_win
15,Transferred DQN vs Random,dqn,random,models/dqn_boxing_1000k.zip,,first_0,second_0,13.0,-13.0,26.0,1785,1785,player1_win
16,Transferred DQN vs Random,dqn,random,models/dqn_boxing_1000k.zip,,first_0,second_0,24.0,-24.0,48.0,1785,1785,player1_win
17,Transferred DQN vs Random,dqn,random,models/dqn_boxing_1000k.zip,,first_0,second_0,9.0,-9.0,18.0,1785,1785,player1_win
18,Transferred DQN vs Random,dqn,random,models/dqn_boxing_1000k.zip,,first_0,second_0,35.0,-35.0,70.0,1785,1785,player1_win
19,Transferred DQN vs Random,dqn,random,models/dqn_boxing_1000k.zip,,first_0,second_0,3.0,-3.0,6.0,1785,1785,player1_win
20,Transferred DQN vs Random,dqn,random,models/dqn_boxing_1000k.zip,,first_0,second_0,7.0,-7.0,14.0,1785,1785,player1_win
21,Transferred DQN vs Random,dqn,random,models/dqn_boxing_1000k.zip,,first_0,second_0,-21.0,21.0,-42.0,1785,1785,player2_win
22,Transferred DQN vs Random,dqn,random,models/dqn_boxing_1000k.zip,,first_0,second_0,2.0,-2.0,4.0,1785,1785,player1_win
23,Transferred DQN vs Random,dqn,random,models/dqn_boxing_1000k.zip,,first_0,second_0,34.0,-34.0,68.0,1777,1778,player1_win
24,Transferred DQN vs Random,dqn,random,models/dqn_boxing_1000k.zip,,first_0,second_0,2.0,-2.0,4.0,1785,1785,player1_win
25,Transferred DQN vs Random,dqn,random,models/dqn_boxing_1000k.zip,,first_0,second_0,34.0,-34.0,68.0,1785,1785,player1_win
26,Transferred DQN vs Random,dqn,random,models/dqn_boxing_1000k.zip,,first_0,second_0,-49.0,49.0,-98.0,1785,1785,player2_win
27,Transferred DQN vs Random,dqn,random,models/dqn_boxing_1000k.zip,,first_0,second_0,-19.0,19.0,-38.0,1785,1785,player2_win
28,Transferred DQN vs Random,dqn,random,models/dqn_boxing_1000k.zip,,first_0,second_0,-13.0,13.0,-26.0,1785,1785,player2_win
29,Transferred DQN vs Random,dqn,random,models/dqn_boxing_1000k.zip,,first_0,second_0,0.0,0.0,0.0,1785,1785,draw
30,Transferred DQN vs Random,dqn,random,models/dqn_boxing_1000k.zip,,first_0,second_0,22.0,-22.0,44.0,1785,1785,player1_win
31,Transferred DQN vs Random,dqn,random,models/dqn_boxing_1000k.zip,,first_0,second_0,3.0,-3.0,6.0,1785,1785,player1_win
32,Transferred DQN vs Random,dqn,random,models/dqn_boxing_1000k.zip,,first_0,second_0,7.0,-7.0,14.0,1785,1785,player1_win
33,Transferred DQN vs Random,dqn,random,models/dqn_boxing_1000k.zip,,first_0,second_0,-5.0,5.0,-10.0,1785,1785,player2_win
34,Transferred DQN vs Random,dqn,random,models/dqn_boxing_1000k.zip,,first_0,second_0,13.0,-13.0,26.0,1785,1785,player1_win
35,Transferred DQN vs Random,dqn,random,models/dqn_boxing_1000k.zip,,first_0,second_0,-5.0,5.0,-10.0,1785,1785,player2_win
36,Transferred DQN vs Random,dqn,random,models/dqn_boxing_1000k.zip,,first_0,second_0,-7.0,7.0,-14.0,1785,1785,player2_win
37,Transferred DQN vs Random,dqn,random,models/dqn_boxing_1000k.zip,,first_0,second_0,1.0,-1.0,2.0,1785,1785,player1_win
38,Transferred DQN vs Random,dqn,random,models/dqn_boxing_1000k.zip,,first_0,second_0,-9.0,9.0,-18.0,1785,1785,player2_win
39,Transferred DQN vs Random,dqn,random,models/dqn_boxing_1000k.zip,,first_0,second_0,9.0,-9.0,18.0,1785,1785,player1_win
40,Transferred DQN vs Random,dqn,random,models/dqn_boxing_1000k.zip,,first_0,second_0,-6.0,6.0,-12.0,1785,1785,player2_win
41,Transferred DQN vs Random,dqn,random,models/dqn_boxing_1000k.zip,,first_0,second_0,36.0,-36.0,72.0,1785,1785,player1_win
42,Transferred DQN vs Random,dqn,random,models/dqn_boxing_1000k.zip,,first_0,second_0,-34.0,34.0,-68.0,1785,1785,player2_win
43,Transferred DQN vs Random,dqn,random,models/dqn_boxing_1000k.zip,,first_0,second_0,39.0,-39.0,78.0,1785,1785,player1_win
44,Transferred DQN vs Random,dqn,random,models/dqn_boxing_1000k.zip,,first_0,second_0,-21.0,21.0,-42.0,1785,1785,player2_win
45,Transferred DQN vs Random,dqn,random,models/dqn_boxing_1000k.zip,,first_0,second_0,24.0,-24.0,48.0,1785,1785,player1_win
46,Transferred DQN vs Random,dqn,random,models/dqn_boxing_1000k.zip,,first_0,second_0,-6.0,6.0,-12.0,1785,1785,player2_win
47,Transferred DQN vs Random,dqn,random,models/dqn_boxing_1000k.zip,,first_0,second_0,0.0,0.0,0.0,1785,1785,draw
48,Transferred DQN vs Random,dqn,random,models/dqn_boxing_1000k.zip,,first_0,second_0,16.0,-16.0,32.0,1785,1785,player1_win
