episode,match_label,player1_policy,player2_policy,player1_model,player2_model,player1_agent,player2_agent,player1_total_reward,player2_total_reward,reward_difference_p1_minus_p2,player1_actions,player2_actions,result
1,Transferred PPO vs Random,ppo,random,models/ppo_boxing_500k.zip,,first_0,second_0,-35.0,35.0,-70.0,1785,1785,player2_win
2,Transferred PPO vs Random,ppo,random,models/ppo_boxing_500k.zip,,first_0,second_0,-12.0,12.0,-24.0,1785,1785,player2_win
3,Transferred PPO vs Random,ppo,random,models/ppo_boxing_500k.zip,,first_0,second_0,-1.0,1.0,-2.0,1785,1785,player2_win
4,Transferred PPO vs Random,ppo,random,models/ppo_boxing_500k.zip,,first_0,second_0,-35.0,35.0,-70.0,1785,1785,player2_win
5,Transferred PPO vs Random,ppo,random,models/ppo_boxing_500k.zip,,first_0,second_0,0.0,0.0,0.0,1785,1785,draw
6,Transferred PPO vs Random,ppo,random,models/ppo_boxing_500k.zip,,first_0,second_0,-3.0,3.0,-6.0,1785,1785,player2_win
7,Transferred PPO vs Random,ppo,random,models/ppo_boxing_500k.zip,,first_0,second_0,-12.0,12.0,-24.0,1785,1785,player2_win
8,Transferred PPO vs Random,ppo,random,models/ppo_boxing_500k.zip,,first_0,second_0,-5.0,5.0,-10.0,1785,1785,player2_win
9,Transferred PPO vs Random,ppo,random,models/ppo_boxing_500k.zip,,first_0,second_0,-36.0,36.0,-72.0,1785,1785,player2_win
10,Transferred PPO vs Random,ppo,random,models/ppo_boxing_500k.zip,,first_0,second_0,-2.0,2.0,-4.0,1785,1785,player2_win
11,Transferred PPO vs Random,ppo,random,models/ppo_boxing_500k.zip,,first_0,second_0,-18.0,18.0,-36.0,1785,1785,player2_win
12,Transferred PPO vs Random,ppo,random,models/ppo_boxing_500k.zip,,first_0,second_0,-4.0,4.0,-8.0,1785,1785,player2_win
13,Transferred PPO vs Random,ppo,random,models/ppo_boxing_500k.zip,,first_0,second_0,-1.0,1.0,-2.0,1785,1785,player2_win
14,Transferred PPO vs Random,ppo,random,models/ppo_boxing_500k.zip,,first_0,second_0,-3.0,3.0,-6.0,1785,1785,player2_win
15,Transferred PPO vs Random,ppo,random,models/ppo_boxing_500k.zip,,first_0,second_0,-14.0,14.0,-28.0,1785,1785,player2_win
16,Transferred PPO vs Random,ppo,random,models/ppo_boxing_500k.zip,,first_0,second_0,-4.0,4.0,-8.0,1785,1785,player2_win
17,Transferred PPO vs Random,ppo,random,models/ppo_boxing_500k.zip,,first_0,second_0,-15.0,15.0,-30.0,1785,1785,player2_win
18,Transferred PPO vs Random,ppo,random,models/ppo_boxing_500k.zip,,first_0,second_0,-13.0,13.0,-26.0,1785,1785,player2_win
