episode,match_label,player1_policy,player2_policy,player1_model,player2_model,player1_agent,player2_agent,player1_total_reward,player2_total_reward,reward_difference_p1_minus_p2,player1_actions,player2_actions,result
1,Random vs Random,random,random,,,first_0,second_0,-4.0,4.0,-8.0,1785,1785,player2_win
2,Random vs Random,random,random,,,first_0,second_0,9.0,-9.0,18.0,1785,1785,player1_win
3,Random vs Random,random,random,,,first_0,second_0,5.0,-5.0,10.0,1785,1785,player1_win
4,Random vs Random,random,random,,,first_0,second_0,1.0,-1.0,2.0,1785,1785,player1_win
5,Random vs Random,random,random,,,first_0,second_0,-4.0,4.0,-8.0,1785,1785,player2_win
6,Random vs Random,random,random,,,first_0,second_0,-3.0,3.0,-6.0,1785,1785,player2_win
7,Random vs Random,random,random,,,first_0,second_0,-8.0,8.0,-16.0,1785,1785,player2_win
8,Random vs Random,random,random,,,first_0,second_0,-3.0,3.0,-6.0,1785,1785,player2_win
9,Random vs Random,random,random,,,first_0,second_0,3.0,-3.0,6.0,1785,1785,player1_win
10,Random vs Random,random,random,,,first_0,second_0,-5.0,5.0,-10.0,1785,1785,player2_win
11,Random vs Random,random,random,,,first_0,second_0,1.0,-1.0,2.0,1785,1785,player1_win
12,Random vs Random,random,random,,,first_0,second_0,-2.0,2.0,-4.0,1785,1785,player2_win
13,Random vs Random,random,random,,,first_0,second_0,-2.0,2.0,-4.0,1785,1785,player2_win
14,Random vs Random,random,random,,,first_0,second_0,5.0,-5.0,10.0,1785,1785,player1_win
15,Random vs Random,random,random,,,first_0,second_0,12.0,-12.0,24.0,1785,1785,player1_win
16,Random vs Random,random,random,,,first_0,second_0,11.0,-11.0,22.0,1785,1785,player1_win
17,Random vs Random,random,random,,,first_0,second_0,-3.0,3.0,-6.0,1785,1785,player2_win
18,Random vs Random,random,random,,,first_0,second_0,0.0,0.0,0.0,1785,1785,draw
19,Random vs Random,random,random,,,first_0,second_0,-12.0,12.0,-24.0,1785,1785,player2_win
20,Random vs Random,random,random,,,first_0,second_0,-11.0,11.0,-22.0,1785,1785,player2_win
21,Random vs Random,random,random,,,first_0,second_0,-5.0,5.0,-10.0,1785,1785,player2_win
22,Random vs Random,random,random,,,first_0,second_0,-8.0,8.0,-16.0,1785,1785,player2_win
23,Random vs Random,random,random,,,first_0,second_0,-8.0,8.0,-16.0,1785,1785,player2_win
24,Random vs Random,random,random,,,first_0,second_0,-1.0,1.0,-2.0,1785,1785,player2_win
25,Random vs Random,random,random,,,first_0,second_0,-6.0,6.0,-12.0,1785,1785,player2_win
26,Random vs Random,random,random,,,first_0,second_0,2.0,-2.0,4.0,1785,1785,player1_win
27,Random vs Random,random,random,,,first_0,second_0,15.0,-15.0,30.0,1785,1785,player1_win
28,Random vs Random,random,random,,,first_0,second_0,4.0,-4.0,8.0,1785,1785,player1_win
29,Random vs Random,random,random,,,first_0,second_0,-7.0,7.0,-14.0,1785,1785,player2_win
30,Random vs Random,random,random,,,first_0,second_0,-1.0,1.0,-2.0,1785,1785,player2_win
31,Random vs Random,random,random,,,first_0,second_0,-14.0,14.0,-28.0,1785,1785,player2_win
32,Random vs Random,random,random,,,first_0,second_0,5.0,-5.0,10.0,1785,1785,player1_win
33,Random vs Random,random,random,,,first_0,second_0,-15.0,15.0,-30.0,1785,1785,player2_win
34,Random vs Random,random,random,,,first_0,second_0,15.0,-15.0,30.0,1785,1785,player1_win
35,Random vs Random,random,random,,,first_0,second_0,-5.0,5.0,-10.0,1785,1785,player2_win
36,Random vs Random,random,random,,,first_0,second_0,-1.0,1.0,-2.0,1785,1785,player2_win
37,Random vs Random,random,random,,,first_0,second_0,-1.0,1.0,-2.0,1785,1785,player2_win
38,Random vs Random,random,random,,,first_0,second_0,-6.0,6.0,-12.0,1785,1785,player2_win
39,Random vs Random,random,random,,,first_0,second_0,-3.0,3.0,-6.0,1785,1785,player2_win
40,Random vs Random,random,random,,,first_0,second_0,-17.0,17.0,-34.0,1785,1785,player2_win
41,Random vs Random,random,random,,,first_0,second_0,2.0,-2.0,4.0,1785,1785,player1_win
42,Random vs Random,random,random,,,first_0,second_0,-4.0,4.0,-8.0,1785,1785,player2_win
43,Random vs Random,random,random,,,first_0,second_0,-6.0,6.0,-12.0,1785,1785,player2_win
44,Random vs Random,random,random,,,first_0,second_0,-2.0,2.0,-4.0,1785,1785,player2_win
45,Random vs Random,random,random,,,first_0,second_0,0.0,0.0,0.0,1785,1785,draw
46,Random vs Random,random,random,,,first_0,second_0,-1.0,1.0,-2.0,1785,1785,player2_win
47,Random vs Random,random,random,,,first_0,second_0,7.0,-7.0,14.0,1785,1785,player1_win
48,Random vs Random,random,random,,,first_0,second_0,1.0,-1.0,2.0,1785,1785,player1_win
49,Random vs Random,random,random,,,first_0,second_0,1.0,-1.0,2.0,1785,1785,player1_win
50,Random vs Random,random,random,,,first_0,second_0,-13.0,13.0,-26.0,1785,1785,player2_win
